modelo;marca;tipo;ano;km;potência do motor;combustível;câmbio;direção;cor;portas;placa;valor
KA;FORD;Hatch;2019;34055;1.5;Flex;Manual;Hidráulica;Branco;4;PWE4815;65278.00
DUSTER;RENAULT;SUV;2020;40135;1.6;Flex;Automático;Elétrica;Branco;4;JHE7846;82032.00
CAPTUR;RENAULT;Hatch;2019;39184;2.0;Flex;Automático;Elétrica;Branco;4;QWE4572;84685.00
ARGO;FIAT;Hatch;2020;28760;1.0;Flex;Manual;Elétrica;Branco;4;OIU5415;59361.00
KA;FORD;Hatch;2019;28600;1.5;Flex;Manual;Hidráulica;Preto;4;ZXC9881;65728.00
SAVEIRO CROSS;VOLKSWAGEN;Pick-up;2015;92000;1.6;Flex;Manual;Hidráulica;Laranja;2;KLF4518;66203.00
VIRTUS COMFORTINE;VOLKSWAGEN;Sedã;2020;40163;1.0;Flex;Automático;Hidráulica;Prata;4;UEL4562;87768.00
HB20S;HYUNDAI;Hatch;2019;34700;1.6;Flex;Automático;Hidráulica;Prata;4;OIW7877;69245.00
LOGAN;RENAULT;Hatch;2020;38680;1.6;Flex;Manual;Hidráulica;Prata;4;LAD6572;55700.00
POLO COMFORTINE;VOLKSWAGEN;Hatch;2019;32000;1.0;Flex;Automático;Elétrica;Branco;4;IWA7133;63846.00
ECOSPORT;HYUNDAII;SUV;2020;15000;1.5;Flex;Automático;Elétrica;Cinza;4;ZXE4872;79024.00
PRISMA;CHEVROLET;Sedã;2019;30000;1.4;Flex;Manual;Hidráulica;Prata;4;PCS7817;66671.00
CIVIC;HONDA;Sedã;2017;46000;2.0;Flex;Automático;Elétrica;Cinza;0;LAA6541;105450.00
RENEGADE SPORT;JEEP;SUV;2017;25500;45.7;Flex;Manual;Elétrica;Vermelho;4;OPA1235;75073.00
CAPTUR;RENAULT;Hatch;2019;38135;2.0;Flex;Automático;Elétrica;Preto;4;JHE1456;84685.00
C4 LOUNGE;CITROEN;Passeio;2017;42000;1.6;Flex;Automático;Hidráulica;Branco;4;AAC9107;65367.00
TORO FREEDOM;FIAT;Pick-up;2018;63000;1.8;Flex;Automático;Elétrica;Preto;4;PAC2142;95035.00
MASTER;RENAULT;Van;2015;110000;2.3;Diesel;Manual;Hidráulica;Branco;2;PBC1417;119188.00
YARIS;TOYOTA;Hatch;2019;36000;1.5;Flex;Automático;Elétrica;Branco;4;QEW3218;81668.00
FIT;HONDA;Hatch;2015;50000;1.5;Flex;Automático;Elétrica;Prata;4;UNA1470;60697.00
T-CROSS;VOLKSWAGEN;SUV;2020;39700;1.0;Flex;Automático;Hidráulica;Vermelho;4;ALE8789;106024.00
KA;FORD;Hatch;2019;16400;1.5;Diesel;Manual;Hidráulica;Prata;4;ZXQ7868;65278.00
COROLLA;TOYOTA;Sedã;2015;96000;2.0;Flex;Automático;Hidráulica;Preto;4;MKE8792;82785.00
ARGO;FIAT;Hatch;2020;13700;1.3;Flex;Manual;Elétrica;Vermelho;4;NAH5414;67177.00
HB20;HYUNDAI;Hatch;2017;58000;1.6;Flex;Automático;Hidráulica;Cinza;4;QAS2133;61444.00
COROLLA;TOYOTA;Sedã;2017;95000;1.8;Flex;Automático;Hidráulica;Prata;4;PQA4142;85853.00
FOX CONNECT;VOLKSWAGEN;Hatch;2020;8000;1.6;Flex;Manual;Elétrica;Branco;4;IQE4571;62578.00
STRADA ENDURANCE;FIAT;Pick-up;2020;30000;1.4;Gasolina;Manual;Hidráulica;Preto;2;MNA7449;71860.00
COROLLA;TOYOTA;Sedã;2015;100000;2.0;Flex;Automático;Hidráulica;Prata;4;OQC7488;82785.00
CIVIC;HONDA;Sedã;2016;82000;1.8;Flex;Automático;Hidráulica;Branco;4;PAE2146;73633.00
XC-60;VOLVO;SUV;2015;97000;2.4;Gasolina;Automático;Elétrica;Preto;4;MAN7774;92988.00
CITY;HONDA;Sedã;2019;38000;1.5;Flex;Automático;Hidráulica;Prata;4;APX6545;90146.00
CRONOS;FIAT;Sedã;2013;204709;1.8;Flex;Manual;Hidráulica;Preto;4;PAC2657;20061.47
SPORTAGE;KIA;SUV;2016;124144;2.0;Gasolina;Manual;Elétrica;Bege;4;EYI0086;54371.08
FRONTIER;NISSAN;Pick-up;2021;52234;NA;Diesel;Manual;Elétrica;Marrom;4;EBR7988;139615.52
FRONTIER;NISSAN;Pick-up;2023;10543;2.3;Diesel;Automático;Elétrica;Cinza;4;PES1396;187234.82
CIVIC;HONDA;Sedã;2013;120380;1.5;Flex;Automático;Elétrica;Vermelho;4;XOS2486;33246.84
MOBI;FIAT;Hatch;2016;101476;1.0;Flex;Manual;Elétrica;Cinza;4;MTW1165;18730.14
SENTRA;NISSAN;Sedã;2021;35289;2.0;Flex;Manual;Elétrica;Azul;4;LLY8251;84936.80
SW4;TOYOTA;SUV;2023;13698;2.7;Flex;Automático;Elétrica;Verde;4;PMC3982;275684.85
A3;AUDI;Sedã;2014;181877;1.4;Flex;Automático;Elétrica;Prata;4;ENP9976;66390.48
XC-60;VOLVO;SUV;2023;9730;2.4;Flex;Automático;Elétrica;Cinza;4;IPF2062;106079.21
CITY;HONDA;Sedã;2014;126025;1.5;Flex;Automático;Hidráulica;Verde;4;OGM4063;30369.58
POLO COMFORTINE;VOLKSWAGEN;Hatch;2023;12212;1.0;Flex;Automático;Elétrica;Preto;4;ELK2294;62715.64
X1;BMW;SUV;2014;169536;1.5;Gasolina;Automático;Elétrica;Prata;4;MWX1039;91630.15
COROLLA;TOYOTA;Sedã;2019;59279;2.0;Flex;Automático;Elétrica;Cinza;4;TBI0495;55729.70
3008;PEUGEOT;SUV;2014;123973;1.6;Flex;Automático;Elétrica;Bege;4;GPQ4559;58532.76
FIT;HONDA;Hatch;2016;117628;1.5;Flex;Manual;Elétrica;Laranja;4;AQO0551;24208.17
SAVEIRO CROSS;VOLKSWAGEN;Pick-up;2016;123314;1.6;Flex;Manual;Hidráulica;Verde;2;AVH6911;24633.86
X1;BMW;SUV;2015;132205;2.0;Gasolina;Automático;Elétrica;Cinza;4;MXV0420;107745.86
CRETA;HYUNDAI;SUV;2015;115916;2.0;Flex;Manual;Elétrica;Preto;4;AJO4039;41156.72
GOL;VOLKSWAGEN;Hatch;2018;97480;1.0;Flex;Manual;Elétrica;Verde;4;YGE7141;29007.91
XC-40;VOLVO;SUV;2023;13345;2.0;Gasolina;Automático;Elétrica;Bege;4;FVL3720;260975.25
CITY;HONDA;Sedã;2017;103427;1.5;Flex;Automático;Elétrica;Verde;4;CZE9214;44870.50
FIT;HONDA;Hatch;2019;80747;1.5;Flex;Manual;Elétrica;Branco;4;NUR9714;39051.36
CITY;HONDA;Sedã;2022;32280;1.5;Flex;Automático;Elétrica;Bege;4;SOE6371;81231.00
XC-60;VOLVO;SUV;2021;63445;2.0;Flex;Automático;Elétrica;Bege;4;RML2497;74547.46
TIGUAN;VOLKSWAGEN;SUV;2017;90248;2.0;Flex;Automático;Elétrica;Cinza;4;AGM8046;93336.16
C4 LOUNGE;CITROEN;Passeio;2020;66445;2.0;Flex;Manual;Hidráulica;Preto;4;EYN0284;48018.84
CLASSE C;MERCEDES;Sedã;2021;55704;2.0;Gasolina;Automático;Elétrica;Prata;4;GGQ7562;252502.80
COROLLA;TOYOTA;Sedã;2016;98556;2.0;Flex;Automático;Hidráulica;Prata;4;JDF4340;39561.91
C4 LOUNGE;CITROEN;Passeio;2022;31173;1.6;Flex;Automático;Hidráulica;Azul;4;WYK7562;58061.93
STINGER;KIA;Sedã;2020;67719;2.0;Gasolina;Automático;Elétrica;Prata;4;ZNX5604;214717.74
SPIN;CHEVROLET;Passeio;2013;169434;1.8;Flex;Automático;Hidráulica;Laranja;4;TJT8200;26827.28
CR-V;HONDA;SUV;2016;80160;1.5;Flex;Automático;Elétrica;Cinza;4;GMC9423;91080.54
CRONOS;FIAT;Sedã;1892;146839;1.8;Flex;Manual;Elétrica;Marrom;4;YFP8263;24057.97
TORO FREEDOM;FIAT;Pick-up;2022;37168;1.8;Diesel;Automático;Elétrica;Preto;4;AKM4384;83334.89
S10;CHEVROLET;Pick-up;2021;43471;2.8;Diesel;Automático;Elétrica;Marrom;4;WVC8246;136802.01
FUSION;FORD;Sedã;2020;57504;2.0;Flex;Automático;Elétrica;Azul;4;HPW5512;89718.20
X3;BMW;SUV;2016;117190;2.0;Gasolina;Automático;Elétrica;Preto;4;KGR3539;173947.90
RENEGADE SPORT;JEEP;SUV;2020;52789;2.0;Flex;Automático;Elétrica;Preto;4;DNT1247;59845.35
CLASSE C;MERCEDES;Sedã;2022;29763;2.0;Gasolina;Automático;Elétrica;Cinza;4;HSD0029;303387.91
OUTLANDER;MITSUBISHI;SUV;2014;153840;2.0;Gasolina;Automático;Elétrica;Laranja;4;ZGW1045;67532.46
ONIX;CHEVROLET;Hatch;2015;156295;1.4;Flex;Manual;Hidráulica;Verde;4;PQU3925;21006.84
A3;AUDI;Sedã;2022;20233;1.4;Gasolina;Automático;Elétrica;Vermelho;4;GOE4640;195818.32
COROLLA;TOYOTA;Sedã;2020;51442;1.8;Flex;Automático;Hidráulica;Bege;4;FDG1075;66019.14
COROLLA;TOYOTA;Sedã;2020;76643;1.8;Flex;Automático;Elétrica;Vermelho;4;MCB4320;63657.22
Q3;AUDI;SUV;2022;39249;1.4;Flex;Automático;Elétrica;Laranja;4;XEP6403;233103.03
ARGO;FIAT;Van;2015;166709;1.3;Diesel;Automático;Elétrica;Bege;4;LII9459;20865.88
SERIE 3;BMW;Sedã;2020;74910;2.0;Gasolina;Automático;Elétrica;Marrom;4;TFO9461;267278.21
MASTER;RENAULT;Van;2015;109282;2.3;Diesel;Manual;Hidráulica;Cinza;2;YQE9274;43647.19
L200 TRITON;MITSUBISHI;Pick-up;2016;143852;2.4;Diesel;manual;Elétrica;Marrom;4;WHU4958;75896.88
SW4;TOYOTA;SUV;2022;34934;2.8;Flex;Automático;Elétrica;Azul;4;TJY8923;264182.41
XC-40;VOLVO;SUV;2013;3833895;2.0;Gasolina;Automático;Elétrica;Prata;4;DZI1809;73950.39
PULSE;FIAT;SUV;2019;78875;1.0;Flex;Automático;Elétrica;Azul;4;WWW3377;57030.30
TERRITORY;FORD;SUV;2022;30832;1.5;Flex;Automático;Elétrica;Preto;4;TSC1203;115949.41
RENEGADE SPORT;JEEP;SUV;2018;75485;2.0;Flex;Manual;Elétrica;Marrom;4;EPJ6452;43474.38
FRONTIER;NISSAN;Pick-up;2017;121320;2.3;Diesel;Automático;Elétrica;Preto;4;ZHZ6439;90163.04
ARGO;FIAT;Hatch;2016;131369;1.3;Flex;Automático;Elétrica;Branco;4;AWU9978;26875.05
CAPTUR;RENAULT;Hatch;2022;18827;2.0;Flex;Automático;Elétrica;Prata;4;ILP7027;78465.93
STRADA ENDURANCE;FIAT;Pick-up;2021;45054;1.3;Gasolina;Manual;Hidráulica;Laranja;2;UMB7266;52607.60
X3;BMW;SUV;2018;74595;2.0;Gasolina;Automático;Elétrica;Verde;4;JTG3636;239889.56
X3;BMW;SUV;2018;68756;2.0;Gasolina;Automático;Elétrica;Bege;4;BAZ1253;240263.49
SERIE 3;BMW;Sedã;2019;83013;2.0;Gasolina;Automático;Elétrica;Marrom;4;AJL9806;230006.05
RENEGADE SPORT;JEEP;SUV;2013;124986;2.0;Flex;Manual;Elétrica;Laranja;4;QPA7215;24221.30
X1;BMW;SUV;2016;79910;1.5;Gasolina;Automático;Elétrica;Marrom;4;WDD2160;124406.27
MASTER;RENAULT;Van;2022;26049;2.3;Diesel;Manual;Hidráulica;Branco;2;NTM7515;112988.17
GOL;VOLKSWAGEN;Hatch;2023;18564;1.6;Flex;Manual;Hidráulica;Laranja;4;RMX0060;50969.44
Q5;AUDI;SUV;2021;61805;2.0;Gasolina;Automático;Elétrica;Verde;4;CSW6772;299770.68
CAPTUR;RENAULT;Hatch;2019;77592;2.0;Flex;Automático;Elétrica;Preto;4;IGY6400;55845.52
WRANGLER;JEEP;SUV;2015;148203;2.0;Gasolina;Automático;Elétrica;Azul;4;ZPJ5262;127261.65
X3;BMW;SUV;2018;110156;2.0;Gasolina;Automático;Elétrica;Verde;4;PRS0279;220028.99
SPIN;CHEVROLET;Passeio;2015;166743;1.8;Flex;Manual;Hidráulica;Preto;4;JLE3395;27599.52
ONIX;CHEVROLET;Hatch;2015;166559;1.0;Flex;Automático;Elétrica;Bege;4;LHT1426;20966.14
RAV4;TOYOTA;SUV;2013;162778;2.0;Gasolina;Automático;Elétrica;Cinza;4;TTH1441;73224.84
CAPTUR;RENAULT;Hatch;2021;33453;2.0;Flex;Automático;Elétrica;Bege;4;XWO5741;69551.18
CIVIC;HONDA;Sedã;2015;104592;2.0;Flex;Automático;Hidráulica;Bege;4;LKC8727;36818.44
CRONOS;FIAT;Sedã;2021;32451;1.3;Flex;Automático;Hidráulica;Cinza;4;GED7096;58567.68
A3;AUDI;Sedã;2022;24918;2.0;Flex;Automático;Elétrica;Laranja;4;LHH0534;198384.71
